species_names,body_mass,diet,source_body_mass,comment
bos_taurus,900000,herbivore,,
dama_dama,52375,herbivore,,
bison_bonasus,500000,herbivore,,
cervus_elaphus,165015.85,herbivore,,
sus_scrofa,96118.09,omnivore,,
lepus_europaeus,3740,herbivore,,
oryctolagus_cuniculus,1832.22,herbivore,,
equus_caballus,250000,herbivore,,
capreolus_capreolus,22500,herbivore,,
ovis_aries,50000,herbivore,,
syncerus_caffer,580002.68,herbivore,,
tragelaphus_scriptus,43250.39,herbivore,,
loxodonta_africana,3940034.28,herbivore,,
giraffa_camelopardalis,899994.8,herbivore,,
sylvicapra_grimmia,19499.79,omnivore,,
lepus_saxatilis,2363.33,herbivore,,
alcelaphus_lichtensteinii,168695.66,herbivore,,
thryonomys_swinderianus,3180.02,omnivore,,
cephalophus_natalensis,11999.97,omnivore,,
redunca_redunca,44050.41,herbivore,,
neotragus_moschatus,6499.95,omnivore,,
phacochoerus_africanus,82500,omnivore,,
kobus_ellipsiprymnus,210000.34,herbivore,,
connochaetes_taurinus,179998.96,herbivore,,
equus_quagga,400000,herbivore,,
equus_africanus,244999.25,herbivore,,
pteropus_rodricensis,253.83,herbivore,,
desmodus_rotundus,31.21,carnivore,,
tadarida_brasiliensis,12.49,carnivore,,
aepyceros_melampus,52500.08,herbivore,,
rangifer_tarandus,86033.98,herbivore,,
ovis_canadensis,74644.88,herbivore,,
madoqua_kirkii,5300.05,herbivore,,
taurotragus_oryx,569993.63,omnivore,,
tragelaphus_strepsiceros,213501.04,herbivore,,
eudorcas_rufifrons,26999.77,omnivore,,
equus_grevyi,407999.85,herbivore,,
lynx_lynx,17950,carnivore,,
canis_lupus,32183.33,carnivore,,
vulpes_vulpes,5476.17,omnivore,,
ursus_arctos,180520.42,omnivore,,
cervus_nippon,53000,herbivore,,
camelus_dromedarius,601000,herbivore,,
odocoileus_hemionus,54212.57,omnivore,,
rupicapra_pyrenaica,30000,herbivore,,
pteropus_vampyrus,935.88,herbivore,,
taphozous_melanopogon,25.94,carnivore,,
rhinopoma_hardwickii,13.1,carnivore,,
rhinopoma_microphyllum,27.87,carnivore,,
scotophilus_heathii,36.13,carnivore,,
scotophilus_kuhlii,20.73,carnivore,,
taphozous_nudiventris,30.07,carnivore,,
lyroderma_lyra,45.54,omnivore,,
mustela_vison,1150,omnivore,,
mustela_putorius,915.37,omnivore,,
pteronura_brasiliensis,23999.93,omnivore,,
chrysocyon_brachyurus,23249.84,omnivore,,
lontra_canadensis,8087.42,carnivore,,
ailuropoda_melanoleuca,108400,omnivore,,
caracal_caracal,13749.91,carnivore,,
prionailurus_bengalensis,3300,carnivore,,
ursus_thibetanus,77500,omnivore,,
potos_flavus,3000,omnivore,,
arctictis_binturong,9875,omnivore,,
acinonyx_jubatus,46700,carnivore,,
felis_catus,2884.8,carnivore,,
lycalopex_culpaeus,8616.24,omnivore,,
martes_melampus,1000,omnivore,,
panthera_onca,100000,carnivore,,
leopardus_pardalis,11900.08,carnivore,,
leopardus_wiedii,3249.97,omnivore,,
ailurus_fulgens,4900,omnivore,,
ursus_maritimus,388750.36,carnivore,,
tremarctos_ornatus,140000.63,omnivore,,
ursus_americanus,99949.36,omnivore,,
procyon_lotor,5524.97,omnivore,,
homo_sapiens,58540.63,omnivore,,
pan_troglodytes,42500,omnivore,,
panthera_tigris,162564,carnivore,,
panthera_leo,161499.06,carnivore,,
alces_alces,356998.16,herbivore,,
bison_bison,579255.28,herbivore,,
halobaena_caerulea,202,carnivore,,
pterodroma_macroptera,531.78,carnivore,,
pterodroma_mollis,312,carnivore,,
procellaria_cinerea,1131,carnivore,,
procellaria_aequinoctialis,1213,carnivore,,
